TY ASP,LY ASP,vs LY,Brand
73.98808680063371,70.88288572241696,4.38074867659447,
,48.70748299319728,,
18.26840615683894,18.193112314634323,0.4138590522746908,
23.517102615694167,,,
27.593753187039407,29.37470447726617,-6.062873897523248,
69.29843144312335,67.80981157498539,2.195286837645634,
44.07292681253697,,,
86.24331367439308,25.608918911497376,236.77061484884976,
30.666776914462734,36.46289723542753,-15.8959401485334,
52.75857076183409,56.03556143109422,-5.848055387630546,
172.45489822983333,89.30839477603978,93.10043435704057,
31.412183998726654,30.2713061976913,3.7688423273996894,
13.792945615402285,25.794585238295042,-46.52774802160779,
18.62743202172942,15.493794003988244,20.22511734010758,
29.811215477839735,27.739339904346018,7.469087514837039,
,8.368327737749444,,
94.78396733344198,59.42059232306968,59.51366963510172,
38.645615739616225,66.73626987861444,-42.09203509589593,
11.597515965295418,11.852586903561242,-2.1520275728936875,
111.75726163481265,134.16975881261598,-16.704581849256396,
147.80811977991476,129.89323726915958,13.792005563486477,
27.254914150311112,26.84911482425939,1.511406721256459,
12.14107464246284,9.409003899379293,29.03676916600896,
582.8571428571429,622.485908649174,-6.366210903958862,
