Brand,TY Quantity,LY Quantity,vs LY
Reserved,1223.0,1195.0,2.34%
Mohito,0.0,1623.0,-100.00%
Intimissimi,2042.0,1475.0,38.44%
Squatwolf,129.0,256.0,-49.61%
Reebok,46.0,181.0,-74.59%
Missguided,0.0,1.0,-100.00%
Mango,5757.0,4223.0,36.32%
Punt Roma,239.0,216.0,10.65%
Calzedonia,2357.0,2845.0,-17.15%
Bose,10.0,7.0,42.86%
Kiko,3304.0,1772.0,86.46%
Boggi Milano,424.0,620.0,-31.61%
Virgin Megastore,789.0,718.0,9.89%
Urban Outfitters,1966.0,2371.0,-17.08%
Mood,63.0,44.0,43.18%
Deichmann,1379.0,790.0,74.56%
Adidas,1072.0,674.0,59.05%
Intimissimi UOMO,71.0,0.0,inf%
Anthropologie,4883.0,0.0,inf%
Trendyol,13089.0,14912.0,-12.23%
Salsa Jeans,202.0,672.0,-69.94%
Decathlon,6350.0,10848.0,-41.46%
Tezenis,1352.0,1231.0,9.83%
Oculis,5.0,100.0,-95.00%
