Brand,TY ,LY ,vs LY
Adidas,788,540,45.93%
Mango,3314,2634,25.82%
Urban Outfitters,870,1098,-20.77%
Deichmann,572,479,19.42%
Squatwolf,74,148,-50.00%
Intimissimi UOMO,25,0,inf%
Reebok,34,157,-78.34%
Punt Roma,120,96,25.00%
Oculis,3,38,-92.11%
Trendyol,3513,4358,-19.39%
Kiko,1026,524,95.80%
Virgin Megastore,569,443,28.44%
Mohito,0,548,-100.00%
Anthropologie,1666,0,inf%
Reserved,692,753,-8.10%
Bose,10,6,66.67%
Boggi Milano,221,326,-32.21%
Missguided,0,1,-100.00%
Calzedonia,885,1019,-13.15%
Tezenis,535,549,-2.55%
Salsa Jeans,136,353,-61.47%
Mood,40,23,73.91%
Intimissimi,591,464,27.37%
Decathlon,2557,4302,-40.56%
