Brand,TY_Net_AOV,LY_Net_AOV,vs_LY
Adidas,22.514693381417747,27.48476657420221,-18.08301038091945
Anthropologie,9.450862348850695,38.01662887377173,-75.140188310145
Boggi Milano,38.03371338332255,58.951781475766374,-35.48335193405941
Bose,127.44897959183675,142.72108843537416,-10.70066730219256
Calzedonia,5.870693878824349,8.66561214815866,-32.252981342214795
Decathlon,8.77922566308911,11.026282621858856,-20.379098158749436
Deichmann,3.1544886783213957,9.149542166138152,-65.52298878958175
Intimissimi,8.871547551403241,14.952842229818714,-40.669824404943256
Intimissimi UOMO,5.837567680133278,0.0,0.0
Kiko,4.005032418353239,4.41346790464337,-9.254298323103685
Mood,60.64692543684141,54.77198286722097,10.72618200415084
Punt Roma,19.629622972960114,22.213686445753343,-11.632753883978731
Reebok,11.324022346368714,22.238012585997097,-49.07808284316171
Reserved,9.592567215253036,11.483401323765483,-16.465801857845634
Salsa Jeans,36.633292240741866,25.27724730698694,44.925955725471646
Squatwolf,8.203521516889744,11.634556908053927,-29.49003918481053
Tezenis,3.033665332428707,5.471621753245623,-44.55637708090447
Trendyol,5.833124786742418,8.234726352179742,-29.164315397094125
Urban Outfitters,11.438865608465607,13.181130857994093,-13.21787385542749
Virgin Megastore,42.34878798635918,38.98027968582082,8.641570372733018
