TY Transactions,Budget Transactions,vs Budget,LY Transactions,vs LY,Brand
3208,4571,-29.81842047691971,4571,-29.81842047691971,Trendyol
1203,11,10836.363636363636,11,10836.363636363636,Anthropologie
469,505,-7.128712871287128,505,-7.128712871287128,Intimissimi
2022,4543,-55.491965661457186,4543,-55.491965661457186,Decathlon
472,729,-35.25377229080932,729,-35.25377229080932,Tezenis
582,1034,-43.7137330754352,1034,-43.7137330754352,Reserved
688,1147,-40.01743679163034,1147,-40.01743679163034,Urban Outfitters
215,387,-44.44444444444444,387,-44.44444444444444,Boggi Milano
481,429,12.121212121212121,429,12.121212121212121,Deichmann
810,1421,-42.99788881069669,1421,-42.99788881069669,Calzedonia
793,510,55.490196078431374,510,55.490196078431374,Kiko
60,0,0.0,0,0.0,Little Mistress
381,436,-12.614678899082568,436,-12.614678899082568,Virgin Megastore
135,419,-67.78042959427208,419,-67.78042959427208,Salsa Jeans
103,20,415.00000000000006,20,415.00000000000006,Gant
117,131,-10.687022900763358,131,-10.687022900763358,Punt Roma
30,6,400.0,6,400.0,Zippy
3,0,0.0,0,0.0,Isla & Evie
40,31,29.03225806451613,31,29.03225806451613,Mood
58,0,0.0,0,0.0,OVS
11,0,0.0,0,0.0,Dwell
11,0,0.0,0,0.0,La Senza
19,0,0.0,0,0.0,Intimissimi UOMO
71,133,-46.616541353383454,133,-46.616541353383454,Squatwolf
8,8,0.0,8,0.0,Bose
3,0,0.0,0,0.0,Castore
1,42,-97.61904761904762,42,-97.61904761904762,Oculis
598,620,-3.5483870967741935,620,-3.5483870967741935,Adidas
21,130,-83.84615384615385,130,-83.84615384615385,Reebok
