Brand,TY_Net_UPT,LY_Net_UPT,vs_LY
Adidas,1.160535117056856,0.9573070607553367,21.229140015030072
Anthropologie,2.1288445552784703,1.6363636363636365,30.09605615590651
Boggi Milano,1.4930232558139536,1.4450127877237853,3.322494340399257
Bose,1.0,0.5,100.0
C7,1.328358208955224,1.72,-22.7698715723707
Calzedonia,2.4839506172839507,2.543493389004871,-2.34098393879515
D2,3.7027027027027026,0.0,0.0
Decathlon,2.1716122650840752,2.0989156893117946,3.4635300570894687
Deichmann,1.79002079002079,1.1902552204176333,50.38966091597672
Intimissimi,3.213219616204691,2.801980198019802,14.676742486457172
Intimissimi UOMO,2.5789473684210527,0.0,0.0
Kiko,2.7856242118537202,2.7544204322200394,1.1328618996821351
Mango,1.1354508944870392,1.114257161892072,1.9020503811686513
Mood,1.275,1.8,-29.166666666666675
Oculis,1.0,2.1904761904761907,-54.34782608695653
Punt Roma,1.205128205128205,1.3846153846153846,-12.962962962962965
Reebok,1.1904761904761905,0.9545454545454546,24.716553287981853
Reserved,1.147766323024055,1.2198443579766538,-5.908789468203482
Salsa Jeans,0.8740740740740741,1.2867298578199051,-32.07011800013641
Squatwolf,1.3661971830985915,1.3609022556390977,0.3890747801727475
Tezenis,2.358050847457627,2.0827679782903665,13.217164467509516
Trendyol,2.5626558603491274,2.435010940919037,5.242067593417623
Urban Outfitters,1.635174418604651,1.7204861111111112,-4.95858071480535
Virgin Megastore,1.1233595800524934,1.5068807339449541,-25.45132771645554
