Brand,TY ASP,LY ASP,vs LY
Adidas,14.601495924706079,30.195942181912404,-51.64%
Anthropologie,4.858119742479747,inf,nan%
Boggi Milano,40.40567929764135,60.260513107454734,-32.95%
Bose,101.9591836734694,163.49854227405254,-37.64%
Calzedonia,5.741245902619063,11.186106046823797,-48.68%
Decathlon,7.399871164457848,10.235447940884836,-27.7%
Deichmann,2.1963895100850044,7.372828747660927,-70.21%
Intimissimi,5.793140730337382,13.622579312160422,-57.47%
Intimissimi UOMO,2.353933122544793,0.0,inf%
Kiko,3.1829181634580874,3.6935936077923706,-13.83%
Mango,9.884035828094808,25.504276034328885,-61.25%
Missguided,0.0,102.92525371076124,-100.0%
Mohito,0.0,2.1358783809272324,-100.0%
Mood,51.711478242090486,93.5374149659864,-44.72%
Oculis,18.762858318474834,7.055770656561496,165.92%
Punt Roma,8.538543147497862,21.847021615992364,-60.92%
Reebok,5.415958222006315,18.391871196131707,-70.55%
Reserved,4.819110276342154,12.4333808269472,-61.24%
Salsa Jeans,23.59358877902319,21.92784222081831,7.6%
Squatwolf,7.871122080722307,7.909046912867926,-0.48%
Tezenis,2.11028653560908,7.742555325265932,-72.74%
Trendyol,3.9450519545937386,6.285347211732387,-37.23%
Urban Outfitters,5.969322011612376,12.899083884924702,-53.72%
Virgin Megastore,31.68190609200493,40.09533620107685,-20.98%
